Brand  ,Country  ,Whiskies  ,Votes  ,Rating  ,WB Ranking  ,
Der Ginsberg,Germany,1,,,G,
Der goldene Reiter,Germany,1,,,G,
Der kleine Lord,Germany,2,2,83.00,D,
Der Kolonist,Germany,1,1,78.33,E,
Der Schwarzbrenner,Germany,2,,,G,
Derby Club,Scotland,1,,,G,
Derrina,Germany,6,4,75.58,E,
Desert Durum,United States,1,,,G,
Desmond & Duff,Scotland,5,2,80.00,D,
Destille No.14,Germany,1,1,65.33,G,
Destillerie Betz,Germany,1,,,G,
Destillerie Hirtner,Austria,3,1,50.00,G,
Detroit City,United States,4,1,78.00,E,
Dettling 1867,United States,1,,,G,
Deutscher Blended Whisky,Germany,1,,,G,
Deventer Whisky,Scotland,1,,,G,
Deviant,Scotland,1,1,88.88,C,
Devil John,United States,2,,,G,
Devil's Share,United States,10,2,85.75,C,
Devils River,United States,3,1,69.00,G,
Devlin,Ireland,3,,,G,
Devolution Dram,Scotland,2,1,82.00,D,
Devonshire,Scotland,1,,,G,
Dew of Ballindalloch,Scotland,2,1,84.00,D,
Dew of Ben Alder,Scotland,4,1,84.50,D,
Dew of Ben Nevis,Scotland,30,14,81.34,D,
Dewar House,Scotland,2,1,83.00,D,
Dewar's,Scotland,190,111,75.87,E,
Dhoon Glen,Scotland,1,1,87.00,C,
Dhunomhainn,Scotland,1,,,G,
Diamond,Scotland,3,,,G,
Dice,Scotland,1,,,G,
Die Whiskybotschaft GmbH,Germany,2,2,86.00,C,
Diedenacker,Luxembourg,10,10,76.61,E,
Dietrich,Austria,1,1,80.00,D,
Difrulux,Luxembourg,1,,,G,
Diggers & Ditch,New Zealand,3,2,85.33,C,
Dillon's,Canada,6,3,73.67,F,
Dimple,Scotland,102,69,77.96,E,
Diners,Scotland,4,3,85.58,C,
Diners' Club,Scotland,1,,,G,
Dingle,Ireland,43,34,84.61,D,
Dinkel,Germany,1,1,83.00,D,
Dinkelbrand,Germany,2,1,70.00,F,
Diomhair'eachd,,1,,,G,
Diplomat Deluxe,India,,,,G,
Diplomat Reserve,Scotland,1,,,G,
Director's Choice,Scotland,1,1,72.33,F,
Director's Highbrow Distillery,Scotland,1,1,85.25,C,
Director's Highbrow Selection,Scotland,1,1,82.25,D,
Director's Reserve,Scotland,1,,,G,
Director's Special,India,1,,,G,
Directors Special,Scotland,3,,,G,
Dirker Whisky,Germany,3,2,78.25,E,
Dirty Dianne,Scotland,1,1,87.19,C,
Dis' closure,,1,,,G,
Discovery,Scotland,4,1,80.00,D,
Discovery Road,United Kingdom,6,4,82.69,D,
Distillations,,1,1,81.00,D,
Distilled at a Secret Orkney Distillery,Scotland,1,1,86.58,C,
Distilled at a Secret Speyside Distillery,Scotland,2,2,87.00,C,
Distilled at Islay,Scotland,1,1,87.67,C,
Distilled at Mull,Scotland,1,1,87.50,C,
Distilled in Sutherland,Scotland,10,8,88.04,C,
Distillerie de Monsieur Balthazar,France,3,3,71.37,F,
Distillerie du Castor,France,1,1,68.50,G,
Distillerie du Pays d'Othe,France,3,3,73.00,F,
Distillerie Theo Preiss,France,3,2,75.50,E,
Distillerie Turin,France,1,1,91.00,B,
Distillery 291,United States,11,3,84.72,D,
Distillery Krauss,Austria,1,1,75.00,E,
District Made,United States,2,2,71.00,F,
Diùn-Laoch,Scotland,1,1,81.25,D,
Divergence,Australia,1,,,G,
Dixon's,Scotland,4,1,85.00,C,
Dixon's,Canada,4,,,G,
DJ Dougherty,Ireland,1,,,G,
DL 13,Scotland,1,,,G,
Do Good Distillery,United States,1,1,78.50,E,
Doble-V,Spain,7,1,68.00,G,
Doc Porter's,United States,2,1,83.13,D,
Doc Swinson's,United States,13,2,92.75,B,
Doctors' Special,Scotland,11,4,85.63,C,
Doerpener,Germany,,,,G,
Dog Head,Germany,2,1,82.00,D,
Dogfish Head,United States,3,,,G,
Doinich Daal,Germany,7,4,81.08,D,
Dolleruper,Germany,12,11,69.88,G,
Dolmen,Ireland,,,,G,
Domaine de Bourjac,France,1,1,71.00,F,
Domaine des Hautes Glaces,France,40,29,81.23,D,
Domaine Lafrance,Canada,1,,,G,
Domus Cardinalis,France,1,1,80.00,D,
Don of Schwetzingen,Germany,1,1,89.75,C,
Don of the Isles,Germany,4,4,89.73,C,
Donatella,Germany,17,9,70.76,F,
Donegal Estates,Ireland,1,,,G,
Donelson,Scotland,1,,,G,
Donker,Netherlands,3,3,80.42,D,
Donven's,Luxembourg,5,4,79.42,E,
Doogies Dram,Scotland,1,,,G,
Doom's,United States,1,,,G,
Door County,United States,1,,,G,
Dorfbachwasser,Switzerland,9,3,78.89,E,
Dormy,Scotland,1,,,G,
Dornoch,Scotland,7,6,84.30,D,
Dorrer's,Scotland,1,,,G,
Double Barrel,Scotland,28,23,83.36,D,
Double Cask,Scotland,3,3,85.21,C,
Double Q,Scotland,7,2,75.63,E,
Double Springs,United States,1,,,G,
Double Sword,Scotland,1,1,77.00,E,
Double White Lightning,United States,1,,,G,
Double Wood,Germany,1,,,G,
Dougherty's,Scotland,2,1,75.00,E,
Douglas & Todd,United States,1,,,G,
Douhans,Ireland,1,1,71.00,F,
Dow's,Scotland,2,,,G,
Dowling,United States,2,,,G,
Down Home,United States,1,,,G,
Downslope,United States,3,,,G,
Downton Abbey,Scotland,1,1,78.00,E,
Doz de Dauzanges,France,2,1,65.00,G,
Dr. Jackyl's,,1,1,89.80,C,
Drago,Spain,3,2,79.25,E,
Dram 101,Scotland,4,,,G,
Dram House,Scotland,1,1,80.50,D,
Dram Nan Uibhistich,Scotland,1,,,G,
Dram Òrach,Scotland,1,,,G,
Dram Regional,Scotland,9,9,83.33,D,
Dram Select,Scotland,1,,,G,
Dramsylvania,Romania,1,1,73.00,F,
Dreemer Dram,Scotland,1,1,87.33,C,
Dresden Old Town Whisky,Germany,2,2,78.17,E,
Dresdner Single Malt Whisky,Germany,4,1,73.00,F,
Dresdner Whisky,Germany,7,,,G,
Drexler,Germany,47,21,72.03,F,
Driftless Glen,United States,9,,,G,
Driftwood,Scotland,1,1,78.00,E,
Drilling,Germany,1,1,80.00,D,
Drimsynie Estate,Scotland,1,,,G,
Drombeg,Ireland,3,1,72.50,F,
Droptine,United States,1,1,100.00,A,
Drovers Dram,Scotland,,,,G,
Druichan Islay,Scotland,2,2,71.13,F,
Drum,Indonesia,3,3,73.50,F,
Drum Major,Scotland,5,4,75.46,E,
Drumblade,Scotland,10,5,81.85,D,
Drumbowie,Scotland,1,1,86.50,C,
Drumguish,Scotland,16,9,72.57,F,
Drumlanrig,Scotland,,,,G,
Drumlassie,Scotland,1,,,G,
Drummore's,Scotland,1,,,G,
Drumochter,Scotland,3,,,G,
Drumshanbo,Ireland,3,3,84.36,D,
Drury's,Scotland,2,1,81.00,D,
Dry County Distillery,United States,4,,,G,
Dry Fly,United States,23,19,81.74,D,
Duart Castle,Scotland,1,,,G,
Dubh Glas,Canada,1,,,G,
Dublin,Ireland,1,1,77.00,E,
Dublin in the Rare Ould Times,Ireland,1,1,77.67,E,
Ducan's,Ireland,1,,,G,
Duck Bay,Scotland,1,,,G,
Dueling Barrels,United States,1,,,G,
Dufftown,Scotland,364,255,85.07,C,
Dufftown Festival,Scotland,2,,,G,
Dufftown Golf Club,Scotland,1,,,G,
Dufftown Highland Games,Scotland,2,1,78.00,E,
Dufftown Tower Malt,Scotland,1,1,86.00,C,
Duggan's Dew,Scotland,3,,,G,
Duke,United States,3,3,79.17,E,
Duketown Spirit,Netherlands,3,1,79.00,E,
Dumbarton,Scotland,90,66,86.39,C,
Dumbarton Castle,Scotland,1,,,G,
Dumeath,Scotland,1,,,G,
Dun Bheagan,Scotland,30,20,81.13,D,
Dún Léire,Ireland,2,2,86.86,C,
Dun Loch,Scotland,1,,,G,
Dun Mhor,Scotland,5,2,63.00,G,
Dun Naomhaig Bay,Scotland,3,3,87.06,C,
Dun Naomhaig Water,Scotland,6,5,85.23,C,
Dunadd,Scotland,6,,,G,
Dunaverty,Scotland,4,4,88.20,C,
Dunbar's,Scotland,1,,,G,
Duncan Gilmour's,Scotland,1,,,G,
Duncan MacGregor,Scotland,3,1,83.50,D,
Duncan Special,Scotland,3,1,72.50,F,
Duncan's,Scotland,2,,,G,
Duncannon,Scotland,1,,,G,
Duncraig,Scotland,2,2,87.00,C,
Dundalgan,Ireland,7,5,78.13,E,
Dundalk Dew,Ireland,3,3,82.58,D,
Dundashill,Scotland,1,,,G,
Dundee,Scotland,1,1,78.00,E,
Dundee 800,Scotland,1,1,69.00,G,
Dunedin,New Zealand,5,3,82.37,D,
Dunfermline Athletic Football Club,Scotland,2,1,85.00,C,
Dunfife,Scotland,4,,,G,
Dunglas,Scotland,1,1,86.00,C,
Dunglass,Scotland,9,9,75.38,E,
Dunhill,Scotland,15,4,82.27,D,
Dunhillion,Scotland,1,,,G,
Duniva,Scotland,1,,,G,
Dunlow,Ireland,1,1,73.00,F,
Dunnottar,Scotland,2,2,82.00,D,
Dunnyveg,Scotland,1,1,83.67,D,
Dunosdale Cream,Scotland,1,,,G,
Dunphy's,Ireland,2,2,75.88,E,
Dunstone,Scotland,4,2,26.25,G,
Duntreath,Scotland,2,,,G,
Dunvegan,Scotland,2,,,G,
Dunvegan Castle,Scotland,1,,,G,
Dunville's,Ireland,23,14,84.66,D,
Dunwoodie,Scotland,1,,,G,
Dunyvaig,Scotland,5,5,89.16,C,
Dunyvaig Bay,Scotland,1,1,85.67,C,
Duo Malt Whisky,Germany,1,1,85.50,C,
Dutch,United States,,,,G,
Dutch Guts,Netherlands,5,2,87.38,C,
DutchSky,Netherlands,2,2,60.94,G,
Duvel Moortgat,Belgium,7,6,68.84,G,
DYC,Spain,36,17,73.25,F,
Dyflin,Ireland,1,1,79.00,E,
E&K,,1,1,87.35,C,
E'legancia...,,1,,,G,
Eades,Scotland,6,3,82.67,D,
Eagle of Lochranza,Scotland,1,1,88.00,C,
Eagle of Spey,Scotland,10,7,87.05,C,
Eagle Rare,United States,74,56,83.81,D,
Eaglesburn,Netherlands,12,12,82.59,D,
Eaglesome's,Scotland,4,1,90.00,B,
Early Times,United States,28,13,77.73,E,
East London,United Kingdom,7,4,82.04,D,
East Lothian,Scotland,1,1,86.33,C,
East Marypark Distillery,Scotland,1,1,86.40,C,
East Shore Islay Malt,Scotland,1,1,85.13,C,
Eastmoor,Netherlands,7,7,79.77,E,
Easy Rider,United States,4,2,81.00,D,
Eaton's,Scotland,5,1,82.00,D,
Eau Claire Distillery,Canada,8,4,81.17,D,
Ebenezer Place,Scotland,1,,,G,
Echo Spring,United States,3,1,88.00,C,
Eckes,Austria,2,,,G,
Ed Gwenn,France,1,1,80.25,D,
Eddu,France,20,16,79.60,E,
Edel Falcke,Germany,1,,,G,
Edelbrände Preiser,Germany,1,,,G,
Edelbrände Senft,Germany,19,18,75.87,E,
Eden Mill,Scotland,43,33,82.27,D,
Eden Rock,Scotland,1,,,G,
Edenside,Scotland,1,,,G,
Edgefield,United States,8,3,81.00,D,
Edinburgh,Scotland,4,3,86.89,C,
Edinburgh Castle,Scotland,4,3,73.83,F,
Edinburgh Festival,Scotland,13,6,84.50,D,
Edinburgh Woollen Mill,Scotland,1,,,G,
Edinburgh's Hogmanay,Scotland,1,,,G,
Editor's Blend,Scotland,1,,,G,
Edradour,Scotland,1149,953,84.15,D,
Egan's,Ireland,11,5,86.46,C,
Egger,Austria,1,,,G,
Egilse,Austria,2,1,60.00,G,
EH10,Scotland,1,1,89.00,C,
Eichbaum,Germany,1,1,69.00,G,
Eifel Whisky,Germany,65,46,81.35,D,
Eifing Malt,Germany,1,,,G,
Eigashima,Japan,14,12,85.86,C,
Eiger Wasser,Switzerland,1,1,84.00,D,
Eight & Sand,United States,1,,,G,
Eight Fellows,Scotland,1,,,G,
Eight Shires,Scotland,1,,,G,
Eighteen 33,United States,6,1,75.00,E,
Eiko,Japan,1,1,79.67,E,
Eiktyrne,Norway,13,13,83.64,D,
Eilan Gillan,Scotland,5,5,78.79,E,
Eilean A'cheo,Scotland,1,,,G,
Eilean Dhubh,Scotland,1,,,G,
Eilean Donan Castle,Scotland,2,,,G,
Eilean Donan Dram,Scotland,1,,,G,
Eilean Na Hearadh,Scotland,1,,,G,
Eileandour,Scotland,2,1,80.00,D,
Éim Néckels,Luxembourg,4,2,76.21,E,
Einar's,Faroe Islands,2,2,84.00,D,
Eira's Fine Old,Scotland,1,1,89.00,C,
El Máximo,Scotland,10,10,85.00,C,
Elbe 1,Germany,5,4,62.38,G,
Elbe-Valley NORDIK Whisky,Germany,13,12,70.60,F,
Elch Whisky,Germany,32,30,83.53,D,
Eleanor,United States,2,2,68.00,G,
Eleuthera,Scotland,6,6,86.54,C,
Eleven Jones,United States,1,,,G,
Elijah Craig,United States,353,124,84.26,D,
Elixir,Scotland,1,,,G,
Elk Rider,United States,7,3,79.33,E,
Elkins,United States,2,,,G,
Ellensburg,United States,1,,,G,
Ellenstown,Scotland,2,2,83.25,D,
Ellington Reserve,Canada,2,,,G,
Ellis's 99,Scotland,1,,,G,
Elmer T. Lee,United States,11,7,85.73,C,
Elsass Whisky,France,6,6,77.99,E,
ElsBurn,Germany,41,41,88.11,C,
ELZ !,Germany,2,2,84.00,D,
Embassy,United States,1,,,G,
Embassy,Philippines,1,,,G,
Embassy Club,Scotland,1,,,G,
Emblem,Japan,3,,,G,
Emerald Isle,Ireland,4,4,87.55,C,
Emill,Germany,6,6,81.33,D,
Emperor's Way,Germany,12,12,89.77,C,
Empire 8,Australia,1,1,75.00,E,
Empire Rye,United States,1,,,G,
Enchanting Emma,Scotland,1,1,86.57,C,
Engelbrekt,Sweden,3,1,71.60,F,
Enghaven,Denmark,3,3,75.47,E,
Engine 49,United States,4,1,87.00,C,
English Park,,3,,,G,
English Spirit Distillery,United Kingdom,4,4,87.13,C,
Enlightenment,Scotland,3,2,85.72,C,
Ensō,Japan,2,2,72.57,F,
Entrapment,Canada,1,1,94.00,B,
Envy,England,1,,,G,
Eorna,Scotland,1,1,78.00,E,
Eòrna-Lòin,Scotland,3,2,84.88,D,
Epicure,Scotland,1,,,G,
Epitome,,1,1,87.73,C,
Equipo Navazos,Spain,4,1,86.00,C,
Eresson,Viet Nam,1,1,85.00,C,
eRètico,Italy,2,1,67.20,G,
Ergaster,France,5,4,80.50,D,
Erin Go Bragh,Ireland,2,1,85.40,C,
Erin's,Ireland,2,2,80.88,D,
Erin's Isle,Ireland,2,2,78.00,E,
Erismann,Switzerland,3,2,79.50,E,
Eschenbrenner Whisky,Germany,12,9,72.58,F,
Esquire,Scotland,2,1,79.50,E,
EtOH Spirits,Denmark,2,2,91.50,B,
Évadé,France,3,3,81.67,D,
Evan Williams,United States,237,112,82.40,D,
Evan Williams 1783,United States,4,1,79.67,E,
Everclear,United States,2,1,70.00,F,
Evermore,Japan,8,2,88.25,C,
Everton's,Scotland,1,,,G,
Evolution,Scotland,10,8,89.58,C,
Excalibur,Scotland,11,7,83.36,D,
Excellency Club,Scotland,1,,,G,
Excise Officer's Dram,Scotland,1,,,G,
Exclusive Malts,Scotland,1,1,86.33,C,
Executive,Scotland,2,,,G,
Exhibition,Scotland,8,3,86.83,C,
Exotic Cargo,Scotland,3,2,86.44,C,
Expedition,Scotland,2,,,G,
Express Load,United States,1,,,G,
Exquisite,,1,,,G,
Extra Special Scotch Kilt,Scotland,2,,,G,
Eylandt Legend,Netherlands,7,6,66.28,G,
Ezra Brooks,United States,73,24,82.75,D,
Ezra Cox Distillery,United States,1,,,G,
Fading Hill,Germany,30,20,78.28,E,
Fafnir,France,1,1,65.00,G,
Fairgrounds,United States,1,,,G,
Fairy Casks,,2,2,86.75,C,
Fairy Flag,Scotland,2,2,79.25,E,
Falcon,Scotland,1,1,82.00,D,
Falcon's,Scotland,1,,,G,
Falken,Germany,3,1,81.50,D,
Fall Springs,United States,1,,,G,
Fallsteiner-Whisky,Germany,5,4,65.38,G,
Family-Owned Distillery,Scotland,1,1,86.05,C,
Fannys Bay,,15,7,88.76,C,
Fantastic Fred,Scotland,1,1,85.25,C,
Farmer John's,United States,1,,,G,
Farmer's Club,Switzerland,1,1,62.00,G,
Farmer's Malt,Scotland,7,2,80.00,D,
Farrell,Ireland,2,2,77.00,E,
Farthofer,Austria,8,3,76.67,E,
Fary Lochan,Denmark,52,31,83.15,D,
Fascadale,Scotland,9,9,84.73,D,
Faster,United States,1,,,G,
Fauchon,France,3,,,G,
Faultline,Scotland,4,3,84.67,D,
Favourite Distillery,Scotland,1,1,90.27,B,
Fearless,United States,2,1,79.00,E,
FECKiN,Ireland,6,4,70.58,F,
Federal Club,United States,4,,,G,
Federal Reserve,United States,1,,,G,
Feindestillerie Geistreich,Germany,1,,,G,
Feingeist,Germany,9,9,85.26,C,
Feisty Spirits,United States,3,,,G,
Feller,Germany,24,20,78.36,E,
Fellsglen,Scotland,1,,,G,
Feral Clangs,Scotland,1,1,89.78,C,
Fercullen,Ireland,14,10,86.03,C,
Ferguson,Scotland,1,,,G,
Ferintosh,Scotland,2,2,63.50,G,
Ferry to Islay,Scotland,7,4,86.48,C,
Fest!,Scotland,1,,,G,
Fettercairn,Scotland,534,416,83.97,D,
Feuerwasser,Scotland,1,1,84.33,D,
FEW,United States,51,30,82.73,D,
Fichtelgebirgs Whiskey,Germany,2,,,G,
Fiddler's Choice,Canada,1,1,77.50,E,
Fife-Keith Reserve,Scotland,1,,,G,
Fifteen Miles,United States,1,1,62.00,G,
Fifth State,United States,,,,G,
Fifty / Fifty,Scotland,3,3,82.92,D,
Fifty Six Degrees,Scotland,1,1,73.00,F,
Fighter,,1,,,G,
Fighting Cock,United States,11,8,83.62,D,
Filey Bay,United Kingdom,12,10,86.18,C,
Filibuster,United States,13,5,79.73,E,
Filliers,Belgium,4,3,76.64,E,
Finagren's,Ireland,1,,,G,
Fincastle,Scotland,1,1,80.00,D,
Finch,Germany,58,54,78.20,E,
Finch's,Scotland,2,,,G,
Findlater's,Scotland,40,16,80.41,D,
Fine Blended,Scotland,1,,,G,
Fine Blended Malt Whisky,,4,4,89.10,C,
Fine Blended Whisky,Scotland,1,1,89.34,C,
Fine Single Grain Whisky,Scotland,2,2,90.85,B,
Fine Single Highland Scotch Malt Whisky,Scotland,3,2,89.63,C,
Fine Single Orkney Scotch Malt Whisky,Scotland,2,,,G,
Fine Single Speyside Scotch Malt Whisky,Scotland,3,3,89.93,C,
Fine Tennessee Whiskey,United States,2,2,88.38,C,
Finest Blended Scotch Whisky,Scotland,5,1,87.00,C,
Finest Irish,Ireland,1,1,89.58,C,
Finest Malt Scotch Whisky,Scotland,1,,,G,
Finest Old Blended Scotch Whisky,Scotland,1,,,G,
Finest Scotch Whisky,Scotland,4,2,80.00,D,
Finian's,Ireland,1,,,G,
Finlaggan,Scotland,67,53,81.61,D,
Finnegan,Ireland,2,2,77.80,E,
Finoh's,United States,1,,,G,
FINRIC,Germany,1,1,82.67,D,
Fintry,Scotland,1,1,85.00,C,
Fiona Macleod,Scotland,1,1,86.67,C,
Fior Càirdeas,Scotland,1,1,85.00,C,
Fiorghlan,Scotland,2,,,G,
Fire Water,United States,1,,,G,
Firean,Scotland,1,1,69.33,G,
Firefly,United States,1,1,44.00,G,
Fireside,United States,2,1,77.00,E,
First and Foremost,Scotland,1,,,G,
First Born,Ireland,3,,,G,
First Foot,Scotland,1,,,G,
Firstwatch,,2,2,70.00,F,
Firva,Scotland,2,,,G,
Fish Wasser,Switzerland,3,1,74.50,F,
Fisselier,France,1,,,G,
Fissky,Austria,1,,,G,
Fistful of Bourbon,United States,1,,,G,
Fitch's Goat,United States,2,,,G,
Five & 20 Spirits,United States,2,,,G,
Five Fathers,United States,1,,,G,
Five Lords,Scotland,12,,,G,
Five Sovereigns,Ireland,1,,,G,
Flacon de Cuisine,Netherlands,2,1,70.33,F,
Flag Hill,United States,2,,,G,
Flaitheanas,Scotland,2,2,88.46,C,
Flaming Cask,Scotland,4,,,G,
Flaming Feast,Scotland,1,1,82.67,D,
Flaming Fergie,Scotland,1,1,86.27,C,
Flaming Heart,Scotland,13,13,87.65,C,
Flaming Leprechaun,United States,,,,G,
Flaming Pig,Ireland,1,1,75.23,E,
Flannigans,Ireland,1,1,79.67,E,
Flatnöse,Scotland,7,7,79.92,E,
Fleet Street,Scotland,1,,,G,
Fleeting,Scotland,8,7,86.89,C,
Fleischmann's,United States,7,2,85.00,C,
Fletcher's,Scotland,2,,,G,
Fleurieu Distillery,Australia,17,6,83.28,D,
Flóki,Iceland,66,46,70.75,F,
Florida Caribbean,United States,3,,,G,
Flower of Scotland,Scotland,29,1,81.60,D,
Flowery Moon,Scotland,1,1,85.71,C,
Floyd's 55,Germany,2,1,91.00,B,
Fly,Scotland,1,,,G,
Flying Tumbler,Ireland,1,1,68.50,G,
Fochabers Bicentenary,Scotland,1,1,85.50,C,
Fog's End,United States,2,1,69.00,G,
Fogwatt,Scotland,1,1,84.00,D,
Foinaven,Scotland,1,,,G,
For Better Times,Scotland,1,,,G,
For Dad,Scotland,3,1,87.00,C,
For Ever Young Pristine,Scotland,1,1,92.62,B,
Foreman,,1,,,G,
Forest Whisky,United Kingdom,14,5,83.60,D,
Forgan,United Kingdom,10,3,75.67,E,
Forged Oak,United States,2,2,87.67,C,
Formosa Ngarox,Taiwan,1,1,89.00,C,
Fort George,Scotland,1,1,78.00,E,
Fort Hamilton,United States,2,1,83.00,D,
Fort William,Scotland,2,1,50.00,G,
Fortbacher,Germany,2,2,80.50,D,
Forth Bridge Centennial,Scotland,1,,,G,
Forties,Scotland,1,1,83.50,D,
Fortification,Scotland,1,1,83.67,D,
Fortnum & Mason,United Kingdom,6,,,G,
Fortunato's Fate,United States,1,,,G,
Forty Creek,Canada,23,20,80.57,D,
Fossey's,Australia,4,,,G,
Founders,Scotland,1,,,G,
Founders Whisky,Scotland,1,,,G,
Four Gate Whiskey Company,United States,3,1,94.00,B,
Four Kings,United States,5,,,G,
Four Roses,United States,1157,299,82.73,D,
Four Seasons,Scotland,4,,,G,
Fowler's,Scotland,1,1,68.00,G,
Foxy Fiona,Scotland,1,1,86.50,C,
Francis,Scotland,9,2,81.50,D,
Frank's Suebisch Whisky,Germany,2,1,75.00,E,
Fränkischer Whisky,Germany,2,1,72.00,F,
Franklin County Distilleries,United States,2,,,G,
Franklin Four,United States,1,,,G,
Franziskus,Germany,2,2,56.25,G,
Fraoch Mòinteach,Scotland,11,7,90.69,B,
Fraser Mc.Donald's,Scotland,4,,,G,
Fraser's,Scotland,2,,,G,
Frasers,Scotland,1,1,80.00,D,
Frasers Reserve,Scotland,4,3,70.78,F,
Frazer McHugh,Scotland,1,,,G,
Frederick's,,1,1,89.92,C,
Freedom,United States,1,,,G,
Freeland,United States,2,,,G,
Freiberger Whisky Manufaktur,Germany,1,1,68.00,G,
Freiheit 1848,Germany,6,2,81.17,D,
Freihof,Switzerland,6,2,76.25,E,
Fremont Mischief,United States,5,4,66.38,G,
French Flanker,France,1,1,80.67,D,
Frey Ranch,United States,8,,,G,
Friar John Cor,Scotland,2,2,77.90,E,
Friesen-Whiskey,Germany,2,1,59.00,G,
Frisky Monkey,Scotland,1,,,G,
Frisky Panky,Scotland,1,,,G,
Fritzen's,Germany,1,,,G,
From arguably the Greatest Speyside Distillery!,Scotland,1,,,G,
Frost 8/80,United States,1,,,G,
Fruity Moon,Scotland,1,1,82.25,D,
Frysk Hynder,Netherlands,148,98,74.24,F,
Fuaran Ile,Scotland,26,14,86.43,C,
Fuji Gotemba,Japan,62,42,85.28,C,
Fujikai,Japan,1,1,52.98,G,
Fujimi,Japan,1,1,72.30,F,
Fukano,Japan,13,2,85.40,C,
Full House,United States,1,,,G,
Fulstrength,Scotland,1,1,89.00,C,
Funky Monkey,United States,1,,,G,
Furneaux,Australia,4,4,81.50,D,
Fuyu,Japan,3,2,74.94,F,
Fyr Drenc,United Kingdom,9,2,81.00,D,
G&W,United States,1,1,78.00,E,
G. Rozelieures,France,31,25,79.70,E,
G.I. Whiskey,United States,2,,,G,
Gael Lonach,Scotland,1,,,G,
Gaelic Ard,Scotland,4,,,G,
Gaelic Old Smuggler Brand,Scotland,3,,,G,
Gairloch,Scotland,3,2,74.75,F,
Galahad,Scotland,2,2,87.60,C,
Galena Reserve,United States,2,1,85.00,C,
Gallagher & Burton's,United States,1,,,G,
Gallantry,United States,3,3,57.61,G,
Galleg,France,1,1,69.40,G,
Galleon Gold,Scotland,1,,,G,
Gamekeeper,Scotland,2,,,G,
Gammelstilla,Sweden,27,9,84.69,D,
Gamsar,Slovenia,1,1,22.00,G,
Gantree's,United States,1,,,G,
Garavan's,Ireland,2,2,84.50,D,
Garn Kirk,Scotland,1,1,81.67,D,
Garnheath,Scotland,32,28,87.50,C,
Garrison Brothers,United States,40,21,84.38,D,
Garryana,United States,2,2,88.75,C,
Gasthof Hirsch,Germany,1,1,56.50,G,
Gäu Whisky,Germany,5,1,83.00,D,
Gawain,Scotland,1,1,87.38,C,
Gebdra,,1,1,87.00,C,
Geiger Destillerie,Germany,,,,G,
Gelephu,Bhutan,6,2,68.50,G,
Gelston's,United Kingdom,12,11,84.35,D,
Gemenc,Hungary,11,6,75.67,E,
Gemikste Schotse klap in je smoel uit Rotterdam,Netherlands,1,1,76.00,E,
Gen Bevis,,1,,,G,
General,Scotland,1,,,G,
General Nelson,Norway,1,,,G,
Geniess-Bar,Germany,6,,,G,
Genius,India,1,,,G,
Gent's Whisky,Netherlands,1,,,G,
Gentleman,Scotland,1,1,93.00,B,
Gentry,United States,1,,,G,
Gentry Club,Scotland,1,1,72.00,F,
Genuine Scotch,Scotland,1,,,G,
Geo. Roe & Co's,Ireland,5,1,84.00,D,
Geometrika,,1,,,G,
George,Austria,1,,,G,
George Denis,Scotland,1,,,G,
George Dickel,United States,79,48,81.20,D,
George Hogg,Scotland,2,,,G,
George Remus,United States,11,1,91.00,B,
George T. Stagg,United States,23,21,89.41,C,
George Urquhart,Scotland,1,,,G,
George Washington,United States,4,2,55.09,G,
Georgia Moon,United States,2,1,47.61,G,
Gerhard Büchner,Germany,11,9,70.10,F,
Gerlachus WiskiE,Netherlands,17,7,68.57,G,
Germain Bros.,Scotland,1,,,G,
German Blended Malt Whisky,Germany,1,1,79.86,E,
German Diamonds,Germany,2,1,86.00,C,
Gerstenbrand,Germany,4,4,77.38,E,
Gerston,Scotland,12,11,82.20,D,
Geulhems Goud,Belgium,2,1,82.33,D,
Geuting,Germany,26,16,75.35,E,
GF & A Brown & Sons,Scotland,,,,G,
Ghibinèt,Italy,2,2,75.63,E,
Ghillie,Scotland,3,2,87.17,C,
Ghleann Dubh,Canada,1,1,65.00,G,
Ghost Coast,,4,,,G,
Ghost Owl,United States,2,2,50.50,G,
Giant,United States,1,,,G,
Giant's Causeway,Germany,1,1,84.50,D,
Giant's Choice,Ireland,1,1,83.86,D,
Gibson,Canada,1,,,G,
Gibson's,Scotland,1,,,G,
Gibson's,Canada,3,1,78.00,E,
Gibson's Finest,Canada,17,5,79.90,E,
Gierer,Germany,,,,G,
Gilavar,Azerbaijan,1,1,65.00,G,
Gilbey's,Scotland,17,6,86.65,C,
Gillon's,Scotland,5,,,G,
Gilman,Scotland,1,,,G,
Gilors,Germany,30,19,68.92,G,
Gilt Crest,Scotland,1,,,G,
Ginkgo,Japan,1,1,84.00,D,
Girvan,Scotland,210,161,83.83,D,
Give 'n' Tell,Scotland,1,1,89.67,C,
Gjoleid,Norway,6,6,79.35,E,
Glacier Distilling,United States,5,2,68.00,G,
Glamis,Scotland,8,7,81.79,D,
Glamis Castle,Scotland,3,1,86.50,C,
Glan Iarran,Germany,1,1,90.00,B,
Glan Taint,Germany,1,,,G,
Glan Tarran,Germany,1,,,G,
Glann ar Mor,France,31,26,82.70,D,
Glärnisch Wasser,Switzerland,2,,,G,
